@RELATION time_series

@ATTRIBUTE var_0000 REAL
@ATTRIBUTE var_0001 REAL

@DATA
0.0,0.0
12.0,-0.536572918
24.0,-0.905578362007
36.0,-0.991778853443
48.0,-0.768254661324
60.0,-0.304810621102
72.0,0.253823362762
84.0,0.733190320073
96.0,0.983587745434
108.0,0.926818505418
120.0,0.580611184212
132.0,0.0530835871461
144.0,-0.491021593898
156.0,-0.881784618815
168.0,-0.997173288774
180.0,-0.801152635734
192.0,-0.354938357652
204.0,0.202120359313
216.0,0.696058488345
228.0,0.972623062486
240.0,0.945445154921
252.0,0.623012211004
264.0,0.106017486267
276.0,-0.444085660041
288.0,-0.855504370751
300.0,-0.999755839901
312.0,-0.831791475782
324.0,-0.404065219456
336.0,0.149847405733
348.0,0.656963872524
360.0,0.958915723414
% 
% 
% 
